Zonas  Turísticas;Periodo;Total
Andalucía: Costa Del Sol (Málaga);2017M08;6,1
Andalucía: Costa Del Sol (Málaga);2017M07;5,68
Andalucía: Costa Del Sol (Málaga);2017M06;5,14
Andalucía: Costa Del Sol (Málaga);2017M05;5,02
Andalucía: Costa Del Sol (Málaga);2017M04;4,71
Andalucía: Costa Del Sol (Málaga);2017M03;5,48
Andalucía: Costa Del Sol (Málaga);2017M02;5,67
Andalucía: Costa Del Sol (Málaga);2017M01;5,59
Andalucía: Costa Del Sol (Málaga);2016M12;4,88
Andalucía: Costa Del Sol (Málaga);2016M11;5,96
Andalucía: Costa Del Sol (Málaga);2016M10;5,84
Andalucía: Costa Del Sol (Málaga);2016M09;5,71
Andalucía: Costa Del Sol (Málaga);2016M08;6,63
Andalucía: Costa Del Sol (Málaga);2016M07;6,09
Andalucía: Costa Del Sol (Málaga);2016M06;5,77
Andalucía: Costa Del Sol (Málaga);2016M05;5,31
Andalucía: Costa Del Sol (Málaga);2016M04;5,35
Andalucía: Costa Del Sol (Málaga);2016M03;5,9
Andalucía: Costa Del Sol (Málaga);2016M02;6,1
Andalucía: Costa Del Sol (Málaga);2016M01;5,7
Andalucía: Costa Del Sol (Málaga);2015M12;5,38
Andalucía: Costa Del Sol (Málaga);2015M11;6,53
Andalucía: Costa Del Sol (Málaga);2015M10;6,36
Andalucía: Costa Del Sol (Málaga);2015M09;6,52
Andalucía: Costa Del Sol (Málaga);2015M08;6,69
Andalucía: Costa Del Sol (Málaga);2015M07;6,65
Andalucía: Costa Del Sol (Málaga);2015M06;5,97
Andalucía: Costa Del Sol (Málaga);2015M05;5,44
Andalucía: Costa Del Sol (Málaga);2015M04;5,99
Andalucía: Costa Del Sol (Málaga);2015M03;6,21
Andalucía: Costa Del Sol (Málaga);2015M02;6,01
Andalucía: Costa Del Sol (Málaga);2015M01;6,17
